Path,Family,Instrument ID,Instrument Name,Pitch,Pitch ID,Dynamics,Dynamics ID
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-pp-N-N.wav,Brass,BTb,Bass Tuba,F#1,30,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-G1-pp-N-R100u.wav,Brass,BTb,Bass Tuba,G1,31,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-pp-N-T16u.wav,Brass,BTb,Bass Tuba,G#1,32,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,Brass,BTb,Bass Tuba,A1,33,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,Brass,BTb,Bass Tuba,A#1,34,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,Brass,BTb,Bass Tuba,B1,35,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-C2-pp-N-T13d.wav,Brass,BTb,Bass Tuba,C2,36,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,Brass,BTb,Bass Tuba,C#2,37,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-D2-pp-N-T18u.wav,Brass,BTb,Bass Tuba,D2,38,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-pp-N-T11u.wav,Brass,BTb,Bass Tuba,D#2,39,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-E2-pp-N-T25u.wav,Brass,BTb,Bass Tuba,E2,40,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-F2-pp-N-T25u_R100u.wav,Brass,BTb,Bass Tuba,F2,41,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-pp-N-T14u.wav,Brass,BTb,Bass Tuba,F#2,42,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-G2-pp-N-N.wav,Brass,BTb,Bass Tuba,G2,43,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-pp-N-T16u.wav,Brass,BTb,Bass Tuba,G#2,44,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,Brass,BTb,Bass Tuba,A2,45,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,Brass,BTb,Bass Tuba,A#2,46,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,Brass,BTb,Bass Tuba,B2,47,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-C3-pp-N-T11d.wav,Brass,BTb,Bass Tuba,C3,48,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,Brass,BTb,Bass Tuba,C#3,49,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-D3-pp-N-N.wav,Brass,BTb,Bass Tuba,D3,50,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-D#3-pp-N-N.wav,Brass,BTb,Bass Tuba,D#3,51,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-E3-pp-N-N.wav,Brass,BTb,Bass Tuba,E3,52,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-F3-pp-N-N.wav,Brass,BTb,Bass Tuba,F3,53,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-F#3-pp-N-N.wav,Brass,BTb,Bass Tuba,F#3,54,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-G3-pp-N-T14d.wav,Brass,BTb,Bass Tuba,G3,55,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-G#3-pp-N-N.wav,Brass,BTb,Bass Tuba,G#3,56,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,Brass,BTb,Bass Tuba,A3,57,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,Brass,BTb,Bass Tuba,A#3,58,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav,Brass,BTb,Bass Tuba,B3,59,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-C4-pp-N-N.wav,Brass,BTb,Bass Tuba,C4,60,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-pp-N-N.wav,Brass,BTb,Bass Tuba,C#4,61,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-D4-pp-N-N.wav,Brass,BTb,Bass Tuba,D4,62,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-D#4-pp-N-N.wav,Brass,BTb,Bass Tuba,D#4,63,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-E4-pp-N-N.wav,Brass,BTb,Bass Tuba,E4,64,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-F4-pp-N-N.wav,Brass,BTb,Bass Tuba,F4,65,pp,0
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-mf-N-T18u.wav,Brass,BTb,Bass Tuba,F#1,30,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-G1-mf-N-N.wav,Brass,BTb,Bass Tuba,G1,31,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-mf-N-T18u.wav,Brass,BTb,Bass Tuba,G#1,32,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,Brass,BTb,Bass Tuba,A1,33,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,Brass,BTb,Bass Tuba,A#1,34,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,Brass,BTb,Bass Tuba,B1,35,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-C2-mf-N-T23u.wav,Brass,BTb,Bass Tuba,C2,36,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-mf-N-N.wav,Brass,BTb,Bass Tuba,C#2,37,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-D2-mf-N-T15u.wav,Brass,BTb,Bass Tuba,D2,38,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-mf-N-T34u.wav,Brass,BTb,Bass Tuba,D#2,39,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-E2-mf-N-T27u.wav,Brass,BTb,Bass Tuba,E2,40,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-F2-mf-N-T24u.wav,Brass,BTb,Bass Tuba,F2,41,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-mf-N-T19u.wav,Brass,BTb,Bass Tuba,F#2,42,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-G2-mf-N-T15u.wav,Brass,BTb,Bass Tuba,G2,43,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-mf-N-T26u.wav,Brass,BTb,Bass Tuba,G#2,44,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,Brass,BTb,Bass Tuba,A2,45,mf,2
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,Brass,BTb,Bass Tuba,A#2,46,mf,2
